camera_id,frame,vehicle_id,x1,y1,x2,y2
camera_0001,12,1,-80,237,0,282
camera_0001,13,1,-71,237,9,282
camera_0001,13,4,-80,438,0,483
camera_0001,14,1,-62,237,18,282
camera_0001,14,4,-74,438,6,483
camera_0001,15,1,-54,237,26,282
camera_0001,15,3,-80,196,0,241
camera_0001,15,4,-68,438,12,483
camera_0001,16,1,-45,237,35,282
camera_0001,16,3,-67,196,13,241
camera_0001,16,4,-62,438,18,483
camera_0001,17,1,-37,237,43,282
camera_0001,17,3,-55,196,25,241
camera_0001,17,4,-56,438,24,483
camera_0001,18,1,-28,237,52,282
camera_0001,18,3,-43,196,37,241
camera_0001,18,4,-50,438,30,483
camera_0001,19,1,-20,237,60,282
camera_0001,19,3,-31,196,49,241
camera_0001,19,4,-44,438,36,483
camera_0001,20,1,-11,237,69,282
camera_0001,20,3,-19,196,61,241
camera_0001,20,4,-38,438,42,483
camera_0001,21,1,-2,237,78,282
camera_0001,21,3,-7,196,73,241
camera_0001,21,4,-32,438,48,483
camera_0001,22,1,5,237,85,282
camera_0001,22,3,4,196,84,241
camera_0001,22,4,-27,438,53,483
camera_0001,23,1,14,237,94,282
camera_0001,23,3,16,196,96,241
camera_0001,23,4,-21,438,59,483
camera_0001,24,1,22,237,102,282
camera_0001,24,3,29,196,109,241
camera_0001,24,4,-15,438,65,483
camera_0001,25,1,31,237,111,282
camera_0001,25,3,41,196,121,241
camera_0001,25,4,-9,438,71,483
camera_0001,26,1,39,237,119,282
camera_0001,26,3,53,196,133,241
camera_0001,26,4,-3,438,77,483
camera_0001,27,1,48,237,128,282
camera_0001,27,3,65,196,145,241
camera_0001,27,4,2,438,82,483
camera_0001,28,1,57,237,137,282
camera_0001,28,3,77,196,157,241
camera_0001,28,4,8,438,88,483
camera_0001,29,1,65,237,145,282
camera_0001,29,3,89,196,169,241
camera_0001,29,4,14,438,94,483
camera_0001,30,1,74,237,154,282
camera_0001,30,3,101,196,181,241
camera_0001,30,4,19,438,99,483
camera_0001,31,1,82,237,162,282
camera_0001,31,3,113,196,193,241
camera_0001,31,4,25,438,105,483
camera_0001,32,1,91,237,171,282
camera_0001,32,3,126,196,206,241
camera_0001,32,4,31,438,111,483
camera_0001,33,1,99,237,179,282
camera_0001,33,3,138,196,218,241
camera_0001,33,4,37,438,117,483
camera_0001,34,1,108,237,188,282
camera_0001,34,3,150,196,230,241
camera_0001,34,4,43,438,123,483
camera_0001,35,1,116,237,196,282
camera_0001,35,3,162,196,242,241
camera_0001,35,4,49,438,129,483
camera_0001,36,1,125,237,205,282
camera_0001,36,3,174,196,254,241
camera_0001,36,4,55,438,135,483
camera_0001,37,1,134,237,214,282
camera_0001,37,3,186,196,266,241
camera_0001,37,4,61,438,141,483
camera_0001,38,1,142,237,222,282
camera_0001,38,3,198,196,278,241
camera_0001,38,4,66,438,146,483
camera_0001,39,1,151,237,231,282
camera_0001,39,3,210,196,290,241
camera_0001,39,4,72,438,152,483
camera_0001,40,1,159,237,239,282
camera_0001,40,3,223,196,303,241
camera_0001,40,4,78,438,158,483
camera_0001,41,1,168,237,248,282
camera_0001,41,3,235,196,315,241
